SampleID;x1;x2;y
1;66.46;10.1;380.3
2;63;11.02;419.85
3;58.15;10.59;440.72
4;47.08;11.49;372.16
5;42.92;11.17;365.49
6;38.77;11.7;357.86
7;33.23;11.2;420.15
8;31.85;11.83;397.61
9;29.77;11.38;405.09
10;29.08;12.06;337.32
11;23.54;11.89;336.68
12;22;11.16;318.15
13;18;11.65;306.03
14;17;11.33;338.91
15;15;11.22;338.25
16;14;12.16;315.38
17;13;11.56;286.26
18;12;12.13;307.13
19;12;12.6;292.11
20;10;12.01;308.92
21;9;12.04;305.44
22;8;11.66;306.76
23;8;12.15;277.79
24;7.6;11.89;264.69
25;6.4;12.46;257.04
26;6;11.72;281.55
27;6;12.67;263.31
28;5.9;12.08;257.15
29;6.5;11.11;230.21
30;7;12.98;206.08
31;7.6;12.8;207.15
32;7.6;13.26;205.96
33;7.5;12.92;207.73
34;7.6;13.54;203.36
35;7.3;12.44;189.31
