SampleID;x1;x2;y
1;66.46;10.1;1616
2;63;11.02;1800
3;58.15;10.59;732
4;47.08;11.49;871
5;42.92;11.17;1202
6;38.77;11.7;1380
7;33.23;11.2;1771
8;31.85;11.83;1331
9;29.77;11.38;1103
10;29.08;12.06;781
11;23.54;11.89;869
12;22;11.16;1138
13;18;11.65;1219
14;17;11.33;1263
15;15;11.22;1130
16;14;12.16;902
17;13;11.56;769
18;12;12.13;875
19;12;12.6;1089
20;10;12.01;1049
21;9;12.04;797
22;8;11.66;617
23;8;12.15;593
24;7.6;11.89;725
25;6.4;12.46;727
26;6;11.72;733
27;6;12.67;803
28;5.9;12.08;554
29;6.5;11.11;465
30;7;12.98;434
31;7.6;12.8;261
32;7.6;13.26;326
33;7.5;12.92;298
34;7.6;13.54;263
35;7.3;12.44;204
