SampleID;x1;x2;y
1;66.46;10.1;0.99
2;63;11.02;1.23
3;58.15;10.59;0.94
4;47.08;11.49;1.7
5;42.92;11.17;1.26
6;38.77;11.7;0.82
7;33.23;11.2;0.62
8;31.85;11.83;0.59
9;29.77;11.38;0.66
10;29.08;12.06;0.51
11;23.54;11.89;0.5
12;22;11.16;0.67
13;18;11.65;0.66
14;17;11.33;0.63
15;15;11.22;0.45
16;14;12.16;0.45
17;13;11.56;0.33
18;12;12.13;0.65
19;12;12.6;0.46
20;10;12.01;0.42
21;9;12.04;0.48
22;8;11.66;0.43
23;8;12.15;0.57
24;7.6;11.89;0.47
25;6.4;12.46;0.64
26;6;11.72;0.72
27;6;12.67;0.91
28;5.9;12.08;0.42
29;6.5;11.11;0.39
30;7;12.98;0.48
31;7.6;12.8;0.56
32;7.6;13.26;0.66
33;7.5;12.92;0.51
