SampleID;x1;x2;y
1;66.46;10.1;727.1
2;63;11.02;376.7
3;58.15;10.59;167.3
4;47.08;11.49;482.9
5;42.92;11.17;809.3
6;38.77;11.7;909.9
7;33.23;11.2;1092.8
8;31.85;11.83;833.1
9;29.77;11.38;662
10;29.08;12.06;342.6
11;23.54;11.89;573.1
12;22;11.16;822.8
13;18;11.65;957
14;17;11.33;970.9
15;15;11.22;897.6
16;14;12.16;680.6
17;13;11.56;617.9
18;12;12.13;733.3
19;12;12.6;775
20;10;12.01;805
21;9;12.04;637
22;8;11.66;468
23;8;12.15;425
24;7.6;11.89;538
25;6.4;12.46;576
26;6;11.72;621.9
27;6;12.67;629
28;5.9;12.08;336
29;6.5;11.11;294
30;7;12.98;299
31;7.6;12.8;152
32;7.6;13.26;205
33;7.5;12.92;195
34;7.6;13.54;127.4
35;7.3;12.44;51.7
